"S/N","statement","target","source","text_origin"
"195","Ìjàmbá tírélà ré kọ̀nténà lu ''dispatch rider' méjì l'Eko, wọ́n pàdánù ẹ̀mí wọn lójú ẹsẹ̀","non-sarcastic","BBC News","original"
"196","Ìdí tí ọlọ́pàá South Africa fi mú pásítọ̀ ọmọ Naijiria padà, lẹ́yìn tí iléẹjọ́ tú u sílẹ̀ lọ́gbà ẹ̀wọ̀n lórí ẹ̀sùn ìfipábánilòpọ̀","non-sarcastic","BBC News","original"
"197","Ǹjẹ́ ẹ ti gbọ́ nípa ìlú Ugbo nípìnlẹ̀ Ondo, níbi tó ti jẹ́ èèwọ̀ láti fẹ́ obìnrin pupa?","non-sarcastic","BBC News","original"
"198","Ta a ni eku ẹdá tó tún dá wàhálà sílẹ̀ lẹ́yìn tí India àti Pakistan gbà láti sinmi ogun?","non-sarcastic","BBC News","original"
"199","Femi Adebayo, Mercy Aigbe, fíìmù Lisabi, àti àwọn míì tó borí níbi àmì ẹ̀yẹ 2025 AMVCA","non-sarcastic","BBC News","original"
"200","Ilé-ẹjọ́ ju ọmọge tó pé 'Bàbá Aláàánú' rẹ̀ lẹ́jọ́ sẹ́wọ̀n","non-sarcastic","BBC News","original"
"201","Zobo ni Man City fi gba aṣo lára ewúrẹ́ Liverpool, ayé polúkúmuṣu mọ́ Liverpool lówọ́ lónìí","sarcastic","BBC News","original"
"202","Lẹ́yìn iṣẹ́ abẹ kejì ní ikùn rẹ̀, Taiwo Awoniyi jí sáyé padà, ó kúrò ní ẹsẹ̀ kan ayé, ẹsẹ̀ kan ọ̀run","non-sarcastic","BBC News","original"
"203","Palmer kó òtútù ká Wolves mọ́lé, níṣe ni ìkokò àti àwọn ọ̀tá Chelsea n gbọ̀n tẹnutẹnu","sarcastic","BBC News","original"
"204","Wo ìrànlọ́wọ́ tó yẹ kí o ṣe fún ẹni tí rọpárọsẹ̀ bá kọlù lójijì","non-sarcastic","BBC News","original"
"205","""Ojú ọ̀nà Ikare sí Ogbagi di pàkúté ikú, ẹ̀mí arìnrìnàjò ń bọ́ púpọ̀ torí ìjàmbá ọkọ̀, ìkọlù adigunjalè àtàwọn ajínigbé""","non-sarcastic","BBC News","original"
"206","Ẹ wo ààfin ìlù níbi tí wọ́n ti n bọ ilù gúdúgúdú tí obìnrin tó bá n ṣe nnkan oṣù kò gbọdọ̀ fọwọ́ kàn","non-sarcastic","BBC News","original"
"207","Mo ṣiṣẹ́ abẹ, wọ́n tún pàárọ̀ itan mi nítorí àìsàn ikọ́-ife inú egungun tó mú mi'","non-sarcastic","BBC News","original"
"208","Ohun tó yẹ kí o mọ̀ nípa ètò ìlera Medipool tí ìjọba ṣẹ̀ṣẹ̀ buwọ́lù fún aráàlú","non-sarcastic","BBC News","original"
"209","Lateef Adedimeji, Mercy Aigbe, àti àwọn mìí bá BBC sọ̀rọ̀ lẹ́yìn tí wọ́n gba àmì ẹ̀yẹ̀ AMVCA","non-sarcastic","BBC News","original"
"210","Agbébọn kọlu ibùdó ọmọ ogun Naijiria, wọ́n jí ọ̀pọ̀ sọ́jà gbé lọ","non-sarcastic","BBC News","original"
"211","Ìjọba UK kéde ìlànà tuntun tí yóò bẹ́gi dínà àwọn tó fẹ́ kàwé, ṣiṣẹ́ tàbí gbé níbẹ̀","non-sarcastic","BBC News","original"
"212","Àjọ NAPTIP kó ọmọ Naijiria 78 padà wálé lóko ẹrú láti Abidjan","non-sarcastic","BBC News","original"
"213","Kí ni ìdí abájọ tí Pásítọ̀ Chris fi sọ pé òun máa jẹ iyọ̀ tó pọ̀ nínú oúnjẹ?","non-sarcastic","BBC News","original"
"214","Sé lóòótọ́  làwọn agbégbọn kọ lẹ́tà pé àwọn tún fẹ́ kọlu ìjọ Aguda nílùú Owo? Ohun tí a mọ̀ rèé","non-sarcastic","BBC News","original"
"215","Ìdí rèé tí iṣẹ́ ìtọ́jú èèyàn táwọn ọmọ ilẹ̀ òkèèrè ń ṣe ní UK yóò fi dópin láìpẹ́","non-sarcastic","BBC News","original"
"216","Wọ́n sọ iná sí ibùdó epo ní Port Sudan,  aráàlú ń kérora","non-sarcastic","BBC News","original"
"217","Bàbá Mohbad le pe ẹjọ́ tako ìdájọ́ tó tú Naira Marley àti Sam Larry sílẹ̀ - Ilé ẹjọ́","non-sarcastic","BBC News","original"
"218","Ìyàwó ilé tó di ògbóǹtarìgì nínú ìdíje àgbáyé fáwọn èèyàn tó sán eegun","non-sarcastic","BBC News","original"
"219","Ọkùnrin tí Salawa ń fẹ́ báyìí ń yá a lò ni, ìyàwó mi ni títí ayé - Kollington Ayinla","non-sarcastic","BBC News","original"
"224","Wo àwọn oníjàkadì inú ẹrọ̀fọ̀ tó wá di ògo àgbáyé","non-sarcastic","BBC News","original"
"225","Lónìí ni èsì ìdánwò JAMB táwọn akẹ́kọ̀ọ́ 379,000 tún ṣe yóò jáde","non-sarcastic","BBC News","original"
"226","Kí ló ṣokùnfà bí ẹlẹ́wọ̀n méje ṣe sá lọ lọ́gbà ẹ̀wọ̀n Osun lẹ́yìn àrọ̀ọ̀dá òjò?","non-sarcastic","BBC News","original"
"227","Ọkọ dáná sun ìyàwó àti ọmọ nítorí owó oúnjẹ","non-sarcastic","BBC News","original"
"228","Ìtàn bí ìwà ọ̀dàlẹ̀ ṣe mú egúngún wọ ìlú Omu-Aran àti bó ṣe di àṣà","non-sarcastic","BBC News","original"
"229","Àṣìta ìbọn 'ọlọ́pàá' ṣekú pa akẹ́kọ̀ọ́ tó ń ṣèdánwò WAEC n'Ibadan, àwọn olùfẹ̀hónúhàn gbé òkú rẹ̀ lọ ọ́fíìsì Makinde","non-sarcastic","BBC News","original"
"230","'A kò lè sọ bóyá alága ẹgbẹ́ APC tí wọ́n jígbé l'Ondo ti kú tàbí kò tíì kú''","non-sarcastic","BBC News","original"
"231","Mọ́gàjí Ogbomoso àti Ibadan tako àbá láti sọ Alaafin di alága láéláé ìgbìmọ̀ lọ́balọ́ba Oyo","non-sarcastic","BBC News","original"
"232","Ẹni tí a jọ ń gbé lábẹ́ òrùlé kan ló tà mí sóko ẹrú ní Mali – Adeola, ọmọ Jumoke George","non-sarcastic","BBC News","original"
"233","Ìfẹ̀hónúhàn wa kò lọ́wọ́ òṣèlú nínú, ìdí tí a fi wọ́de lórí ọ̀nà tí kò da rèé'","non-sarcastic","BBC News","original"
"234","Mi ò mọ̀ pé mo lè dé ipò ọba - Owa Obokun tuntun Ilẹ̀ Ijẹsa","non-sarcastic","BBC News","original"
"235","Ṣé lóòótọ́ ni àwọ́n jàǹdùkú kọlu Alabi Pasuma lóde eré ní Ikire?","non-sarcastic","BBC News","original"
"236","Kí ni Ààrẹ Tinubu, Peter Obi àti Kayode Fayemi bá ara wọn sọ nígbà tí wọ́n pàdé nibi ayẹyẹ Poopu ni Rome?","non-sarcastic","BBC News","original"
"237","Perimenopause: Wo àwọn ọ̀nà mẹ́fà láti mójútó ìlera lásìkò tí nǹkan oṣù obìnrin ti fẹ́ dúró","non-sarcastic","BBC News","original"
"238","Mọ̀ nípa Opeyemi Bright, ọmọbìnrin Nàìjíríà tó di olórí ìjọba ìbílẹ̀ ní UK","non-sarcastic","BBC News","original"
"239","Timothy Omotosho: Wo àwọn pásítọ̀ ọmọ Naijiria tó ti fìgbàkanrí ní ìṣòro òfin nílẹ̀ òkèèrè","non-sarcastic","BBC News","original"
"240","Ọmọkùnrin tó fi mílíọ̀nù kan Náírà, owó ọ̀gá rẹ̀, ta tẹ́tẹ́ dèrò ẹ̀wọ̀n","non-sarcastic","BBC News","original"
"241","Ìdí tí mo fi pè fún àtúntò ìgbìmọ̀ àwọn ọba l' Oyo -Seyi Makinde","non-sarcastic","BBC News","original"
"242","Èèyàn 27 tún kú nínú ìjamba ọkọ̀ ojú omi ní Kwara","non-sarcastic","BBC News","original"
"243","Kọngílá parí títì, àgbàrá òjò wọ́ọ lọ lọ́jọ́ kejì, Gómìnà Adeleke bá fárígá l'Osun","non-sarcastic","BBC News","original"
"244","Ajínigbé ṣekúpa alága ẹgbẹ́ APC l'Ondo lẹ́yìn tí wọ́n kọ́kọ́ gba ₦5m owó ìtúsílẹ̀","non-sarcastic","BBC News","original"
"245","Kí ló ṣẹlẹ̀ sí àgbà òṣèré Yemi My Lover tó fi ké gbàjarè pé òun nílò ìrànlọ́wọ́?","non-sarcastic","BBC News","original"
"246","Ìjàmbá ọkọ̀ gbẹ̀mí èèyàn méje, àwọn mẹ́rìndínlógún míì farapa","non-sarcastic","BBC News","original"
"247","Àbọ̀ ìwádìí BBC rèé lórí ìrẹsì tí wọ́n ní ó ń pààyàn láti Seme","non-sarcastic","BBC News","original"
"248","Njẹ́ o ti gbọ́ nípa àwọn ìlú mẹ́fà yìí níbi tí òòrùn ò kìí wọ̀ rárá?","non-sarcastic","BBC News","original"
"249","Ìdí tí mo fi sunkún nígbà tí MKO Abiola jáde láyé - Alake ilẹ̀ Ẹ̀gbá","non-sarcastic","BBC News","original"
"250","Ogún Naira ni mo gbà fún Sinímá Ọ̀pá Ajé tó sọ mí di olókìkí – Àjan Abija","non-sarcastic","BBC News","original"
"251","Ṣó o l'áyà! Ẹ wo bí Eniola Ajao ṣe fakọyọ lórí ètò tí BBC fi n dàn ìmọ̀ èdè Yorùbá wò","non-sarcastic","BBC News","original"
"252","Ìfìyà-jẹ-ara ẹni ni Libya tí mo wá, mi ò tọrọ irú ẹ fún ọ̀tá mi'","non-sarcastic","BBC News","original"
"253","Ọlọ́pàá ń lo àyẹ̀wò DNA láti ṣàwárí ìyá àwọn ọmo tí wọ́n rí nínú àpò lẹ́bá ọ̀nà","non-sarcastic","BBC News","original"
"254","Kí ló kàn fún Simon Ekpa lẹ́yìn tí ìjọba Finland fẹ̀sùn ìdìtẹ̀mọ́jọba kàn án?","non-sarcastic","BBC News","original"
"255","Ìbẹ̀rùbojo gbilẹ̀ lórí owó orí ẹran àgbò bí ìjọba ṣe fòfin dé kíkó àgbò lọ sórílẹ̀ èdè míì lásìkò Ileya","non-sarcastic","BBC News","original"
"256","Ìbálòpọ̀ pẹ̀lú ìlérí góòlù - àṣírí ìwà àìtọ́ tó ń kojú àwọn ọmọdékùnrin kan láwọn ibùdó ìwakùsà tó lòdì sófin ni South Africa","non-sarcastic","BBC News","original"
"257","Òkò ọ̀rọ̀ ń bọ́ bí Ibadan àti Oyo ṣe ń tahùn síra wọn lórí ẹni tí ipò alága ìgbìmọ̀ lọ́balọ́ba l'Oyo tọ́ sí","non-sarcastic","BBC News","original"
"258","Ọdún ìtẹ́ ọba nìkan ni mo ti gbọdọ̀ jó lẹ́ẹ̀kan lọ́dún - Olomu ti Omu-Aran","non-sarcastic","BBC News","original"
"259","Ohun tí a mọ̀ nípa afurasí tọ́wọ́ aráàlù tẹ̀ fẹ́sùn pé ó fẹ́ jí ọmọ gbé ní Ilorin","non-sarcastic","BBC News","original"
"265","Ọlọ́pàá bá òkú ọmọ Nàìjíríà tí wọ́n gún pa sínú ilé ní ó ku ọ̀sẹ̀ méjì tó máa parí ìkẹ́kọ̀ọ́ nọ́ọ̀sì ní US","non-sarcastic","BBC News","original"
"279","Oriogbade FC ti wá yarí kanlẹ̀ báyìí o. Kí ló ń ṣẹlẹ̀ gan-an gan-an ná ní pápá ìṣeré Emirates?","sarcastic","BBC News","original"
"280","Ọmọ tí yòó bá jẹ́ àṣàmú, kékeré ni yòó ti maa ṣẹnu ṣámú-ṣámú. Bùkáyọ̀ Saka, Oriogbade ooo","non-sarcastic","BBC News","original"
"281","Gbajúgbajà akọrin Afro beat, Seun Kuti, ní àìmọ̀kan ló jẹ́ káwọn olólùfẹ́ Wizkid máa fi Wizkid wé Abami Ẹda.","non-sarcastic","BBC News","original"
"282","Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ikúnlẹ̀ abiyamọ ṣe wá nígbà tí ìfesewọnsệ parí","sarcastic","BBC News","original"
"284","Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Arsenal, Oriogbade, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?","sarcastic","BBC News","original"
"285","Bí olóde kò bá kú, ojúde rẹ̀ kìí hu gbẹ́gi - ẹ̀yà koríko kan.","non-sarcastic","BBC News","original"
"286","Ríru omi òkun, kò ní kí ẹja má sùn, kò ní kí ẹja má han oorun. Bí omi òkun ṣe ń ru tó, èyí kò di ẹja lọ́wọ́ oorun","non-sarcastic","BBC News","original"
"287","Ọmọdé tó bá mọ ọwọ́ wẹ̀, yóò bá àgbà jẹun.","non-sarcastic","BBC News","original"
"288","Arsenal gbẹ̀san ìyà tí Aston Villa fi jẹ wọ́n lára Club Brugge tí kò mọwọ́ mẹsè.😀","sarcastic","BBC News","original"
"289","Àgbà òǹkọ̀wé Nàìjíríà, Wole Soyinka ní àwọn ọmọ ogun ilẹ̀ àti òfurufú tí Ààrẹ Tinubu rán lọ sí orílẹ̀ èdè Benin kọ́ ló yẹ kó rán, pé Seyi Tinubu lásán ti tó.","sarcastic","BBC News","original"
"290","Ẹ̀yin ti Chelsea, ṣé ẹ fẹ́ pa orúkọ dá sí Anakaye FC ni?","sarcastic","BBC News","original"
"291","Sheikh Gumi ní káàkiri àgbáyé ni wọ́n ti máa ń bá àwọn agbébọn jíròrò láti dènà ìtàjẹ̀sílẹ̀.","non-sarcastic","BBC News","original"
"292","Leeds United ló kọ́kọ́ dá ṣèríà fún Chelsea, kí Atalanta tó f'ọba leè ní ìdíje UEFA Champions League.","sarcastic","BBC News","original"
"294","Ayé ò! Atalanta lagi mọ́ Chelsea lórí láwọlé sùn, fa aṣọ iyì ya mọ́ Aníyìkáyé FC lára.","sarcastic","BBC News","original"
"295","Seyi Tinubu ló yẹ kí Aàre rán lọ ṣe ìdádúró ìdìtẹ̀gbàjọba ní orílè-èdè Benin nítorí àwọn ẹ̀ṣọ́ ààbò tó máa n tẹ̀lẹ kò níye.","sarcastic","BBC News","original"
"298","Ìgbájú ìgbámú ni kẹríkẹrì bá tòdee bọ̀, Manchester United, ọwọ́ ba kórópọ̀n yín méjèèjì.","sarcastic","BBC News","original"
"299","Báyé bá njáyé, bí Paul Biya bá ṣì wà lórí oyè ni Cameroon, ọ̀rọ̀ bí ìyà bí ìyà kò tíì lè tán nínú ayé Manchester United","sarcastic","BBC News","original"
"300","Òjò ẹ̀sín àti ìyà tún rọ̀ lé Anfaani Adugbo, ìyẹn Manchester United, lórí lẹ́yìn tí wọ́n lè Amori lọ","sarcastic","BBC News","original"
"301","Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ìkúnlẹ́ abiyamọ ṣe wá nígbà tí ìfẹsẹ̀wọnsẹ̀ parí","sarcastic","BBC News","original"
"302","Eré orí igi ló bá dé fún Erinlákátabú FC, iyen Arsenal, lẹ́yìn tí wọ́n kó igi bo orí Burnley.","sarcastic","BBC News","original"
"303","Erin lákátabú Oriogbade FC, ìyẹn Arsenal ti gòkè àlọ, Fulham ni wọ́n fi ṣe ìrúbọ àti gori tábìlì EPL.","sarcastic","BBC News","original"
"304","Ọmọ inú ọká ní ṣekúpa ọká,  Danny Welbeck tó ti gbá bọ́ọ̀lù rí fún Man United náà ló dá iyẹ̀pẹ̀ sí gaàrí wọn.","sarcastic","BBC News","original"
"305","Ẹ yéé fi Wizkid wé Fẹlá mọ, ọ̀rọ̀ àbùkù àti agọ̀ ni, Seun Kuti yarí","sarcastic","BBC News","original"
"306","Pìtìpìtì ayé bá Portsmouth! Martinelli kanra ti Liverpool mọ́ wọn, fi wọ́n ṣe àsun ìrọ̀lẹ ọjó ìsinmi fáwọn olólùfẹ́ Oriogbade, ìyẹn Arsenal.","sarcastic","BBC News","original"
"307","Ewúrẹ́ Algeria binú, fẹsẹ̀ halẹ̀, àjẹkún ìyà ni wọ́n fi jẹ lọ́wọ Super Eagles Nàìjíríà.","sarcastic","BBC News","original"
"308","E yé sọ̀rọ̀ òdì sí orílẹ̀-èdè Nàìjíríà mọ́, dípò béẹ̀, ẹ máa ṣadúrà ni","sarcastic","BBC News","original"
"309","Ríi dájú pé èso rere lò n gbìn ní gbogbo ibi tó o bá dé, àṣesilẹ̀, kò sí bó ṣe le wù kó pé tó, o máa ká gbogbo ohun to bá gbìn lọ́jó kan.","non-sarcastic","BBC News","original"
"310","Ṣé òkè ténté tábìlì ni oríògbadé FC yóò bá wọ ọdún 2026, àbí wọn yóò já gẹ́gẹ́bí ìṣe wọn?","sarcastic","BBC News","original"
"311","Njẹ́ ọkọ̀ Chelsea tí kò ní dẹ́rẹ́bà yìí lè borí Man City, àbí àpò ni wọn yóò fi kó òdo lọ sílé?","sarcastic","BBC News","original"
"313","Màlúù tí kò nírù Chelsea takú sọ́rùn Man City pé kò sí àyè láti fibẹ̀ ṣe ilé eṣinṣin","sarcastic","BBC News","original"
"314","Njẹ́ ọkọ̀ Chelsea tí kò ní dẹ́rẹ́bà yìí lè borí Man City, àbí àpò ni wọn yóò fi kó òdo lọ sílé?","sarcastic","BBC News","original"
"315","Ànfààní Adúgbò, ìyẹn Manchester United, ti fọwọ́ òsì júwe ilé fún Ruben Amorim pé kó máa lọ","sarcastic","BBC News","original"
"316","Arsenal Oriogbade bínú tán, pàwọn ọlọ́tẹ̀ lẹ́nu mọ́, àlùdákú ni wọ́n lu Club Brugge mọ́lé.","sarcastic","BBC News","original"
"317","Ayé ò! Atalanta lagi mọ́ Chelsea lórí láwọlé sùn, fa aṣọ iyì ya mọ́ Aníyìkáyé FC lára.","sarcastic","BBC News","original"
"318","Olúwa tó yí orúkọ Ábráhámù àti Jákọ́bù padà, yi o báwa yí orúkọ Arsenal tí 'BBC News Yoruba' ti sọ di 'Oriogbade' padà sí 'Oriade' 🙏","sarcastic","BBC News","original"
"319","Alvaro Arbeloa tó jẹ́ akẹgbẹ́ Xabi Alonso tẹ́lẹ̀ ní ẹgbẹ́ agbábọ́ọ̀lù Liverpool ni akọ́nimọ̀ọ́gbá tuntun Real Madrid báyìí.","non-sarcastic","BBC News","original"
"320","Egbìnrìn ọ̀tè, bí a ti ńpa kan ni ọ̀kan ńrú.","non-sarcastic","BBC News","original"
"321","Aya Ààrẹ ilẹ̀ wa sọ̀rọ̀ yìí lójú òpó Facebook rẹ̀, pẹ̀lú àlàyé pé àdúrà àti ọ̀rọ̀ rere ló yẹ Naijiria, ọ̀rọ̀ burúkú kọ́.","non-sarcastic","BBC News","original"
"322","Àmọ̀rí kọ́ ni ìṣòro ẹgbẹ́ agbábọ́ọ̀lù Manchester United. Ẹ̀san òjóóró tí wọ́n ṣe nígbà tí Alex Ferguson jẹ́ Kóòsì wọn ló ń ké lórí wọn. Bí wọ́n ò bá múra, wọ́n máa religéètì gbẹ̀yìn..","sarcastic","BBC News","original"
"323","Erin lákátabú Oriogbade FC, ìyẹn Arsenal, kí ojú aláṣejù Crystal Palace bọ omi gbígbóná láti jókòó rẹ̀pẹ̀tẹ̀ sórí tábìlì EPL.","sarcastic","BBC News","original"
"324","Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Oriogbade, ìyẹn Arsenal, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?","sarcastic","BBC News","original"
"399","Aṣọ ò bá ọmọ́yẹ Super Eagles mọ́, ikọ̀ agbábọ́ọ̀lù Nàìjíríà ti rìn wọjà, DR Congo lo tì wọ́n dànù lójú ònà àti pegedé fún ìdíje Ìfe Èyẹ Àgbáyé 2026","sarcastic","BBC News","original"
"400","Tí wọ́n bá ṣe atọ́nà fún àwọn ọmọ tó ń ṣe ""Yahoo"", wọ́n máa wúlò láti mú ìgbéga bá orílẹ̀ èdè.","sarcastic","BBC News","original"
"401","Ẹni tó kékọ̀ọ́ gboyè fásitì sàn ju bàbá olówó tí kò kàwé lọ","sarcastic","BBC News","original"
"402","Mo fi àkókò yí rọ gbogbo àwọn alátìlẹ́yìn Manchester United láti jẹ oúnjẹ alẹ́ wọn kí wọ́n tó lọ wo eré bọ́ọ̀lù náà. Nítorí iṣu Manchester United ma sùn sínú epo Liverpool lónìí","sarcastic","BBC News","original"
"403","Ẹ̀dá ò láròpin! Anfààní Àdúgbò FC, ìyẹn Manchester United, táyé ti sọ irètí nù lórí wọn lu Liverpool lálùmólè bí àpò ẹ̀wà","sarcastic","BBC News","original"
"404","Arsenal Erin lákátabú Oriogbade FC ti gòkè àlọ̀, Fulham ni wọ́n fi șe ìrúbọ àti gorí tábìlì EPL","sarcastic","BBC News","original"
"405","Lórí erinlákátabú Arsenal tó ń pa kúkúrú, tó ń pa gúngùn ninu EPL yìí, Bàbá gba ọpẹ́ wa","sarcastic","BBC News","original"
"406","Lẹ́yìn ìṣẹ́jú mókànlélógún ifesewonse pẹ̀lú Chelsea, ẹgbẹ́ agbábọ́ọ̀lù Nottingham Forest fi ọwọ́ òsì júwe ilé fún Ange Postecoglou bíi akọ́nimọ̀ọ́gbá","sarcastic","BBC News","original"
"408","Ẹ̀jẹ̀ lẹ́nu ọ̀daràn, Aníyìkáyé, ìyẹn Chelsea, fún Nottingham Forest lọ́rùn pa bí ó tilẹ̀ jẹ́ pé wọ́n Șépè káàdì pupa fún wọn","sarcastic","BBC News","original"
"409","Hmmm, Oshimen fakọyọ ṣùgbọ́n ẹni tí a lè mú ní à ń lẹ̀dí mọ́ ló bá dé ní pápá ìṣeré Uyo lálẹ́ yìí pẹ̀lú Benin Republic ","sarcastic","BBC News","original"
"410","Super Eagles fi Benin Republic șe àsun pẹ̀lú ìrètí láti lọ fún ìdíje Ife Ẹ̀yẹ Àgbáyé","sarcastic","BBC News","original"
"411","Ìyàwó dùn lọ́sìngín! Gómìnà Abba Kabir Yusuf ti ìpínlẹ̀ Kano, ní ìjọba òun yóò ṣẹ́gun àgbèrè ṣíṣe látàrí àì lọ́kọ-láya","sarcastic","BBC News","original"
"412","Ìjọba Kano fẹ́ẹ́ șe igbéyàwó fún èèyàn ẹgbẹ̀rún méji láti ran àwọn tí kò r'ówó șe é lówó, dẹ́kun ṣìná ṣíṣe","sarcastic","BBC News","original"
"413","Àyànmó Super Eagles Nàìjíríà tún yí bírí bírí ní ìrìnàjò àti pegedé fún ìdíje Ife Ẹ̀yẹ Àgbáyé, bó tilẹ̀ jẹ́ pé wọ́n yan Lesotho jẹ","non-sarcastic","BBC News","original"
"414","Àsikò tí wọ́n máa ń sọ pé oríléèdè Naijiria ni ìwà ìbàjẹ́ tó pò jùlọ lágbàáyé ti kọjá","sarcastic","BBC News","original"
"415","Aníyikáyé FC ìyẹn Chelsea bínú tán, òròmọ adìyẹ wọn fi àṣá Liverpool ṣe Súyà jẹ","sarcastic","BBC News","original"
"416","Ànfààní Àdúgbò iyen Manchester United, tọ́ àṣeyorí wò, wọ́n kanra lu Sunderland lónìí","sarcastic","BBC News","original"
"417","Oriogbade Arsenal yarí kanlẹ̀, àlùmọ́lẹ̀ bí ìlú bẹ̀ǹbẹ́ ni wọ́n lu West Ham ní Emirates","sarcastic","BBC News","original"
"418","Kò sí bí o bá ṣe ń jìyà tó, má ṣe béèrè ìrànlọ́wọ́ lọ́wọ́ ẹnikẹ́ni. Bó tilẹ̀ jẹ́ pé o lè kú nígbà sórí ìjìyà náà, kò sí ẹni tí yóò lè sọ pé òun ti ràn ọ́ lọ́wọ́ rí","sarcastic","BBC News","original"
"419","Tí o bá mọ̀ pé ọ̀rẹ́kùnrin rẹ máa ń ṣe òògùn owó, má ṣe sá fún. Bó tilẹ̀ jẹ́ pé ó lè padà lò ọ́ fún òògùn owó, tí o sì máa kú, tìrẹ ni yóò jẹ́ ìkẹyìn.","sarcastic","BBC News","original"
